exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Dumbbell Fix Bent-Over Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Dumbbell Seal Row - Gethin Variation,Strength,Middle Back,Intermediate,,,,,,,,,,,
Decline dumbbell chest fly,Strength,Middle Back,Intermediate,,,,,,,,,,,
TBS Bent-Over Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
HM Alternating Bent-Over Quick Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
HM Bent-Over Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
AM Single Arm Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Dumbbell stiff-legged deadlift,Strength,Middle Back,Intermediate,,,,,,,,,,,
Single-arm bench dumbbell row,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Bent-Over Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Dumbbell RDL,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Chest Supported Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
MetaBurn Bent-Over Renegade Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Bent-Over Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Dumbbell Pull-Over,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Incline Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Single-Arm Dumbbell Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Single-Arm Dumbbell Swing Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
T-Bar Row with Handle,Strength,Middle Back,Intermediate,,,,,,,,,,,
T-Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Alternating sit-through with crunch,Strength,Middle Back,Intermediate,,,,,,,,,,,
Seated Cable Rows,Strength,Middle Back,Intermediate,,,,,,,,,,,
Upside-down pull-up,Strength,Middle Back,Intermediate,,,,,,,,,,,
Smith machine inverted row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Lying T-Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Suspended row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Inverted Row with Straps,Strength,Middle Back,Beginner,,,,,,,,,,,
One Arm Chin-Up,Strength,Middle Back,Beginner,,,,,,,,,,,
Sled Row,Strength,Middle Back,Beginner,,,,,,,,,,,
Paul Carter T-Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Single-Arm Bent-Over Rear Delt Raise - Gethin Variation,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Plate Hyperextension,Strength,Middle Back,Intermediate,,,,,,,,,,,
Seated Cable Rows,Strength,Middle Back,Intermediate,,,,,,,,,,,
Single-arm cable seated row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Paul Carter Lat Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
TBS Lat Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
One-Arm Cable Read Delt Fly - Gethin Variation,Strength,Middle Back,Intermediate,,,,,,,,,,,
UP Seated Cable Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
UP Cable Straight-Arm Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
UN Cable Pull-Through,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Close-Grip Seated Cable Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Incline Face-Up Cable Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Kneeling High Cable Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Leaning V-Bar Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Reverse-Grip Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Standing Low Cable Bar Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Standing Low Cable Rope Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Straight-Arm Bar Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Straight-Arm Rope Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Wide-Grip Behind-The-Head Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Wide-Grip Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 back Wide-Grip Seated Cable Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Rower,Cardio,Middle Back,Intermediate,,,,,,,,,,,
Seated Cable Rows,Strength,Middle Back,Intermediate,,,,,,,,,,,
Smith machine bent-over row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Leverage High Row,Strength,Middle Back,Beginner,,,,,,,,,,,
Machine Low Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
Standing lat pull-down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Machine Seated Row,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Smith Machine Push-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
Mixed Grip Chin,Strength,Middle Back,Intermediate,,,,,,,,,,,
Rhomboids SMR,Stretching,Middle Back,Intermediate,,,,,,,,,,,
Spinal Stretch,Stretching,Middle Back,Intermediate,,,,,,,,,,,
Upper Back Stretch,Stretching,Middle Back,Intermediate,,,,,,,,,,,
Middle Back Stretch,Stretching,Middle Back,Intermediate,,,,,,,,,,,
TBS Pull-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
HM Angel Stretch,Strength,Middle Back,Intermediate,,,,,,,,,,,
UNS Foam Roll Upper Back,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Neutral-Grip Pull-Down,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Pull-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
30 Back Reverse-Grip Pull-Up,Strength,Middle Back,Intermediate,,,,,,,,,,,
ACFT Medicine ball overhead power throw,Strength,Middle Back,Intermediate,,,,,,,,,,,
Upright Row - With Bands,Strength,Traps,Beginner,,,,,,,,,,,
Band seated row,Strength,Traps,Intermediate,,,,,,,,,,,
Barbell shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Barbell behind-the-back shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Clean Shrug,Olympic Weightlifting,Traps,Beginner,,,,,,,,,,,
Snatch Shrug,Olympic Weightlifting,Traps,Beginner,,,,,,,,,,,
Single-arm inverted row,Strength,Traps,Intermediate,,,,,,,,,,,
Kettlebell sumo deadlift high pull,Strength,Traps,Intermediate,,,,,,,,,,,
Standing dumbbell shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Standing dumbbell upright row,Strength,Traps,Intermediate,,,,,,,,,,,
Dumbbell pull-over,Strength,Traps,Intermediate,,,,,,,,,,,
Standing Dumbbell Shrug - Gethin Variation,Strength,Traps,Intermediate,,,,,,,,,,,
Single-arm dumbbell row,Strength,Traps,Intermediate,,,,,,,,,,,
Lying Face Down Plate Neck Resistance,Strength,Neck,Beginner,,,,,,,,,,,
Lying Face Up Plate Neck Resistance,Strength,Neck,Beginner,,,,,,,,,,,
Seated Head Harness Neck Resistance,Strength,Neck,Beginner,,,,,,,,,,,
Cable straight-bar upright row,Strength,Traps,Intermediate,,,,,,,,,,,
Cable shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Smith machine shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Leverage Shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Calf-Machine Shoulder Shrug,Strength,Traps,Beginner,,,,,,,,,,,
Smith machine behind-the-back shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Smith machine upright row,Strength,Traps,Intermediate,,,,,,,,,,,
Machine low row-,Strength,Traps,Intermediate,,,,,,,,,,,
Machine Shrug - Gethin Variation,Strength,Traps,Intermediate,,,,,,,,,,,
Smith machine single-arm shrug,Strength,Traps,Intermediate,,,,,,,,,,,
Isometric Neck Exercise - Sides,Strength,Neck,Beginner,,,,,,,,,,,
Isometric Neck Exercise - Front And Back,Strength,Neck,Beginner,,,,,,,,,,,
Neck Bridge Prone,Strength,Neck,Beginner,,,,,,,,,,,
Side Neck Stretch,Stretching,Neck,Intermediate,,,,,,,,,,,
Neck-SMR,Stretching,Neck,Intermediate,,,,,,,,,,,
Scapular Pull-Up,Strength,Traps,Beginner,,,,,,,,,,,
Single-leg depth squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squats - With Bands,Strength,Quadriceps,Beginner,,,,,,,,,,,
Hip Flexion with Band,Strength,Quadriceps,Beginner,,,,,,,,,,,
Forward Band Walk,Strength,Quadriceps,Beginner,,,,,,,,,,,
Boss Everline Resistance-Band Pull Sprint,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Banded jump squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Speed Box Squat,Powerlifting,Quadriceps,Intermediate,,,,,,,,,,,
HM Banded Squat Toe Tap,Strength,Quadriceps,Intermediate,,,,,,,,,,,
UP Band Abducted Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Lateral Band Walk,Strength,Quadriceps,Intermediate,,,,,,,,,,,
FYR2 Banded Squat Hold-Pulse-Jump Complex,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Band split squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Band front squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Squat hold with band pull-apart,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Banded squat toe tap,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Band overhead squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
Quadriceps SMR,Stretching,Quadriceps,Intermediate,,,,,,,,,,,
Clean from Blocks,Olympic Weightlifting,Quadriceps,Beginner,,,,,,,,,,,
Barbell Full Squat,Strength,Quadriceps,Intermediate,,,,,,,,,,,
