exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Smith machine standing calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Calf Raise On A Dumbbell,Strength,Calves,Beginner,,,,,,,,,,,
Standing Dumbbell Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
Single-leg standing dumbbell calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Dumbbell walking calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Balance Board,Strength,Calves,Beginner,,,,,,,,,,,
Weighted donkey calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Anterior Tibialis-SMR,Stretching,Calves,Beginner,,,,,,,,,,,
Foot-SMR,Stretching,Calves,Beginner,,,,,,,,,,,
Agility Ladder,Cardio,Calves,Intermediate,,,,,,,,,,,
Single-leg machine seated calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Smith Machine Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
Standing Calf Raises,Strength,Calves,Beginner,,,,,,,,,,,
Seated Calf Raise,Strength,Calves,Intermediate,,,,,,,,,,,
Calf Press On The Leg Press Machine,Strength,Calves,Intermediate,,,,,,,,,,,
Calf Press,Strength,Calves,Beginner,,,,,,,,,,,
Smith Machine Reverse Calf Raises,Strength,Calves,Beginner,,,,,,,,,,,
Seated Single-Leg Calf Press - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Seated Calf Raise - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Donkey Calf Raise - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Calf Press On A Hack Squat Machine - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Smith Machine Standing Calf Raises - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
Hack squat calf raise,Strength,Calves,Intermediate,,,,,,,,,,,
Seated Calf Press - Gethin Variation,Strength,Calves,Intermediate,,,,,,,,,,,
